"","data","Nome","Rating","nova_data"
"1","JAN01","Milos, Gilberto",2608,2001-01-01
"2","JAN01","Leitao, Rafael",2577,2001-01-01
"3","JAN01","Neto, Jaime",2558,2001-01-01
"4","JAN01","Lima, Darcy",2544,2001-01-01
"5","JAN01","Vescovi, Giovanni",2519,2001-01-01
"6","APR01","Milos, Gilberto",2608,2001-04-01
"7","APR01","Leitao, Rafael",2587,2001-04-01
"8","APR01","Vescovi, Giovanni",2572,2001-04-01
"9","APR01","Neto, Jaime",2558,2001-04-01
"10","APR01","Mecking, Henrique",2552,2001-04-01
"11","JUL01","Milos, Gilberto",2614,2001-07-01
"12","JUL01","Vescovi, Giovanni",2581,2001-07-01
"13","JUL01","Leitao, Rafael",2571,2001-07-01
"14","JUL01","Neto, Jaime",2558,2001-07-01
"15","JUL01","Mecking, Henrique",2552,2001-07-01
"16","OCT01","Milos, Gilberto",2610,2001-10-01
"17","OCT01","Vescovi, Giovanni",2585,2001-10-01
"18","OCT01","Leitao, Rafael",2581,2001-10-01
"19","OCT01","Mecking, Henrique",2552,2001-10-01
"20","OCT01","Lima, Darcy",2543,2001-10-01
"21","JAN02","Vescovi, Giovanni",2590,2002-01-01
"22","JAN02","Milos, Gilberto",2580,2002-01-01
"23","JAN02","Leitao, Rafael",2571,2002-01-01
"24","JAN02","Mecking, Henrique",2548,2002-01-01
"25","JAN02","Lima, Darcy",2540,2002-01-01
"26","APR02","Vescovi, Giovanni",2611,2002-04-01
"27","APR02","Milos, Gilberto",2574,2002-04-01
"28","APR02","Leitao, Rafael",2558,2002-04-01
"29","APR02","Mecking, Henrique",2548,2002-04-01
"30","APR02","Lima, Darcy",2541,2002-04-01
"31","JUL02","Vescovi, Giovanni",2611,2002-07-01
"32","JUL02","Milos, Gilberto",2574,2002-07-01
"33","JUL02","Leitao, Rafael",2558,2002-07-01
"34","JUL02","Mecking, Henrique",2548,2002-07-01
"35","JUL02","Lima, Darcy",2541,2002-07-01
"36","OCT02","Vescovi, Giovanni",2614,2002-10-01
"37","OCT02","Milos, Gilberto",2578,2002-10-01
"38","OCT02","Leitao, Rafael",2548,2002-10-01
"39","OCT02","Mecking, Henrique",2548,2002-10-01
"40","OCT02","Lima, Darcy",2533,2002-10-01
"41","JAN03","Vescovi, Giovanni",2592,2003-01-01
"42","JAN03","Milos, Gilberto",2580,2003-01-01
"43","JAN03","Mecking, Henrique",2556,2003-01-01
"44","JAN03","Neto, Jaime",2533,2003-01-01
"45","JAN03","Leitao, Rafael",2529,2003-01-01
"46","APR03","Vescovi, Giovanni",2615,2003-04-01
"47","APR03","Milos, Gilberto",2586,2003-04-01
"48","APR03","Mecking, Henrique",2556,2003-04-01
"49","APR03","Leitao, Rafael",2533,2003-04-01
"50","APR03","Neto, Jaime",2533,2003-04-01
